Date,Open,High,Low,Close,Adj Close,Volume
2019-10-07,54.930000,55.840000,54.849998,55.810001,55.810001,2183800
2019-10-08,55.639999,55.939999,55.549999,55.930000,55.930000,2535600
2019-10-09,56.799999,57.189999,56.700001,56.779999,56.779999,1312100
2019-10-10,56.330002,56.430000,55.740002,56.419998,56.419998,1713500
2019-10-11,56.590000,56.840000,55.869999,56.040001,56.040001,1011500
2019-10-14,55.840000,55.980000,55.360001,55.810001,55.810001,830200
2019-10-15,56.209999,57.259998,55.779999,57.029999,57.029999,1673000
2019-10-16,56.919998,57.549999,56.540001,57.330002,57.330002,1655300
2019-10-17,57.529999,58.230000,57.529999,57.700001,57.700001,1495100
2019-10-18,57.840000,58.090000,56.970001,57.070000,57.070000,1143700
2019-10-21,57.270000,58.779999,57.130001,58.610001,58.610001,1195900
2019-10-22,58.919998,59.400002,58.650002,58.779999,58.779999,1551500
2019-10-23,58.900002,59.380001,58.820000,59.369999,59.369999,1834000
2019-10-24,59.330002,59.950001,59.169998,59.930000,59.930000,2076000
2019-10-25,59.669998,60.380001,59.380001,60.099998,60.099998,2172400
2019-10-28,60.490002,60.810001,60.049999,60.090000,60.090000,1429000
2019-10-29,60.160000,60.970001,60.160000,60.750000,60.750000,1546800
2019-10-30,60.750000,61.259998,60.480000,61.230000,61.230000,1533700
2019-10-31,60.810001,61.240002,60.669998,61.090000,61.090000,2153700
2019-11-01,61.700001,61.770000,60.990002,61.570000,61.570000,1558500
2019-11-04,61.570000,61.820000,61.060001,61.639999,61.639999,1164100
2019-11-05,61.750000,61.950001,60.930000,60.990002,60.990002,2050500
2019-11-06,61.320000,62.189999,60.860001,62.110001,62.110001,1077900
2019-11-07,62.799999,63.009998,62.169998,62.270000,62.270000,936700
2019-11-08,62.130001,62.400002,61.740002,61.810001,61.810001,1119700
2019-11-11,61.910000,62.400002,61.810001,61.849998,61.849998,575000
2019-11-12,61.910000,62.240002,61.540001,61.570000,61.570000,1017500
2019-11-13,61.299999,61.880001,61.070000,61.500000,61.500000,961600
2019-11-14,61.500000,62.200001,61.439999,62.090000,62.090000,1328500
2019-11-15,62.299999,62.480000,61.720001,61.959999,61.959999,903500
2019-11-18,61.799999,61.880001,61.310001,61.389999,61.389999,1060800
2019-11-19,61.509998,61.619999,61.119999,61.419998,61.419998,1244600
2019-11-20,61.240002,62.099998,61.240002,61.770000,61.770000,1038300
2019-11-21,61.900002,62.009998,61.430000,61.689999,61.689999,1701700
2019-11-22,61.500000,61.910000,61.380001,61.610001,61.610001,780100
2019-11-25,62.000000,62.459999,61.959999,62.389999,62.389999,1671200
2019-11-26,62.110001,62.770000,62.099998,62.730000,62.730000,929700
2019-11-27,62.720001,63.470001,62.470001,63.389999,63.389999,1012400
2019-11-29,62.549999,62.549999,61.340000,61.750000,61.750000,938500
2019-12-02,61.820000,62.000000,61.410000,61.970001,61.970001,1095400
2019-12-03,61.369999,61.840000,61.209999,61.610001,61.610001,890100
2019-12-04,61.869999,62.599998,61.869999,62.380001,62.380001,1408400
2019-12-05,62.230000,62.509998,61.799999,62.430000,62.430000,1149200
2019-12-06,62.400002,62.410000,61.560001,62.389999,62.389999,1214360
